name,player_image,gender,battingstyle,bowlingstyle,country,country_image
Ahmed Shehzad,https://cdn.sportmonks.com/images/cricket/players/2/2.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Anwar Ali,https://cdn.sportmonks.com/images/cricket/players/3/3.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sarfraz Ahmed,https://cdn.sportmonks.com/images/cricket/players/4/4.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Azhar Ali,https://cdn.sportmonks.com/images/cricket/players/5/5.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Fakhar Zaman,https://cdn.sportmonks.com/images/cricket/players/6/6.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Imam ul Haq,https://cdn.sportmonks.com/images/cricket/players/7/7.png,m,left-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Babar Azam,https://cdn.sportmonks.com/images/cricket/players/8/8.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Asad Shafiq,https://cdn.sportmonks.com/images/cricket/players/9/9.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Haris Sohail,https://cdn.sportmonks.com/images/cricket/players/10/10.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Usman Salahuddin,https://cdn.sportmonks.com/images/cricket/players/11/11.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Yasir Shah,https://cdn.sportmonks.com/images/cricket/players/12/12.png,m,right-hand-bat,legbreak-googly,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shadab Khan,https://cdn.sportmonks.com/images/cricket/players/13/13.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Bilal Asif,https://cdn.sportmonks.com/images/cricket/players/14/14.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Abbas,https://cdn.sportmonks.com/images/cricket/players/15/15.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Hasan Ali,https://cdn.sportmonks.com/images/cricket/players/16/16.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Wahab Riaz,https://cdn.sportmonks.com/images/cricket/players/17/17.png,m,right-hand-bat,left-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Faheem Ashraf,https://cdn.sportmonks.com/images/cricket/players/18/18.png,m,left-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mir Hamza,https://cdn.sportmonks.com/images/cricket/players/19/19.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Rizwan,https://cdn.sportmonks.com/images/cricket/players/20/20.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Hafeez,https://cdn.sportmonks.com/images/cricket/players/21/21.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Asif Ali,https://cdn.sportmonks.com/images/cricket/players/5/261.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Amir,https://cdn.sportmonks.com/images/cricket/players/6/262.png,m,left-hand-bat,left-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Rahat Ali,https://cdn.sportmonks.com/images/cricket/players/7/263.png,m,right-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shoaib Malik,https://cdn.sportmonks.com/images/cricket/players/8/264.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Junaid Khan,https://cdn.sportmonks.com/images/cricket/players/9/265.png,m,right-hand-bat,left-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Rumman Raees,https://cdn.sportmonks.com/images/cricket/players/10/266.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Umar Amin,https://cdn.sportmonks.com/images/cricket/players/11/267.png,m,left-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Hussain Talat,https://cdn.sportmonks.com/images/cricket/players/12/268.png,m,left-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Mohammad Nawaz,https://cdn.sportmonks.com/images/cricket/players/13/269.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Sahibzada Farhan,https://cdn.sportmonks.com/images/cricket/players/14/270.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shaheen Afridi,https://cdn.sportmonks.com/images/cricket/players/15/271.png,m,left-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Usman Shinwari,https://cdn.sportmonks.com/images/cricket/players/16/272.png,m,right-hand-bat,left-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Shahid Afridi,https://cdn.sportmonks.com/images/cricket/players/27/347.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Aiman Anwer,https://cdn.sportmonks.com/images/cricket/players/25/569.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Aliya Riaz,https://cdn.sportmonks.com/images/cricket/players/26/570.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Anam Amin,https://cdn.sportmonks.com/images/cricket/players/27/571.png,f,right-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Ayesha Zafar,https://cdn.sportmonks.com/images/cricket/players/28/572.png,f,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
Diana Baig,https://cdn.sportmonks.com/images/cricket/players/29/573.png,f,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
