name,player_image,gender,battingstyle,bowlingstyle,country,country_image,playingRole
Fakhar Zaman,https://cdn.sportmonks.com/images/cricket/players/6/6.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Opening Batter
Shadab Khan,https://cdn.sportmonks.com/images/cricket/players/13/13.png,m,right-hand-bat,legbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Allrounder
Mohammad Rizwan,https://cdn.sportmonks.com/images/cricket/players/20/20.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Wicketkeeper Batter
Asif Ali,https://cdn.sportmonks.com/images/cricket/players/5/261.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Middle order Batter
Mohammad Nawaz,https://cdn.sportmonks.com/images/cricket/players/13/269.png,m,left-hand-bat,slow-left-arm-orthodox,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Allrounder
Shan Masood,https://cdn.sportmonks.com/images/cricket/players/29/797.png,m,left-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Opening Batter
Yasir Ali,https://cdn.sportmonks.com/images/cricket/players/18/1010.png,m,right-hand-bat,right-arm-fast-medium,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Middle order Batter
Yasir Ali,https://cdn.sportmonks.com/images/cricket/players/23/6487.png,m,right-hand-bat,right-arm-fast-medium,Bangladesh,https://cdn.sportmonks.com/images/countries/png/short/bd.png,Middle order Batter
Iftikhar Ahmed,https://cdn.sportmonks.com/images/cricket/players/5/1253.png,m,right-hand-bat,right-arm-offbreak,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Middle order Batter
Naseem Shah,https://cdn.sportmonks.com/images/cricket/players/13/4301.png,m,right-hand-bat,right-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Bowler
Haris Rauf,https://cdn.sportmonks.com/images/cricket/players/8/4328.png,m,right-hand-bat,right-arm-fast,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Bowler
Mohammad Haris,https://cdn.sportmonks.com/images/cricket/players/20/8340.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Middle order Batter
Haider Ali,https://cdn.sportmonks.com/images/cricket/players/3/8355.png,m,right-hand-bat,,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png,Middle order Batter
